Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-154643,50939928445,6/4/2023 9:00,6/4/2023 9:03,6/4/2023 10:44,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,R,R2,CLAREMONT/RAINIER VISTA,31XX BLOCK OF S DAKOTA ST,-122.2920163,47.56618103
2023-154630,50938673303,6/4/2023 8:41,6/4/2023 8:41,6/4/2023 9:35,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J2,BALLARD NORTH,70XX BLOCK OF 15TH AVE NW,-122.3767718,47.68045515
2023-154621,50938887762,6/4/2023 8:26,6/4/2023 9:18,6/4/2023 10:37,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,D,D1,BELLTOWN,,0,0
2023-154605,50938441289,6/4/2023 7:48,6/4/2023 7:51,6/4/2023 8:35,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R3,GENESEE,44XX BLOCK OF RAINIER AVE S,-122.288011,47.56345666
2023-154593,50938301445,6/4/2023 7:32,,6/4/2023 7:57,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,E,E3,FIRST HILL,9XX BLOCK OF JAMES ST,-122.3241952,47.60578655
2023-154588,50938950129,6/4/2023 7:22,6/4/2023 7:26,6/4/2023 10:56,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D1,BELLTOWN,1XX BLOCK OF DENNY WAY,-122.353751,47.618596
2023-154569,50938249941,6/4/2023 6:42,,6/4/2023 7:38,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B2,FREMONT,2XX BLOCK OF NW 50TH ST,-122.3602198,47.66503094
2023-909337,50943583120,6/4/2023 6:36,6/4/2023 6:37,6/5/2023 5:23,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,S,S1,SOUTH BEACON HILL,83XX BLOCK OF 37TH AVE S,-122.2859557,47.5287807
2023-154959,50940905870,6/4/2023 6:20,6/4/2023 14:00,6/4/2023 18:34,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F1,HIGH POINT,24XX BLOCK OF SW FINDLAY ST,-122.3636565,47.55192159
2023-154709,50939099612,6/4/2023 6:15,,6/4/2023 11:37,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L2,NORTHGATE,113XX BLOCK OF 3RD AVE NE,-122.3260141,47.7108808
2023-154558,50938194275,6/4/2023 6:13,,6/4/2023 7:10,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,D,D3,SLU/CASCADE,STEWART ST / YALE AVE,-122.3309994,47.61827376
2023-909432,50953092577,6/4/2023 5:13,6/4/2023 5:14,6/6/2023 11:53,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,MADRONA/LESCHI,7XX BLOCK OF 24TH AVE S,-122.3011699,47.59602511
2023-154523,50938886292,6/4/2023 5:04,,6/4/2023 7:53,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,S,R,R3,GENESEE,44XX BLOCK OF RAINIER AVE S,-122.288011,47.56345666
2023-154512,50937994293,6/4/2023 4:33,,6/4/2023 6:03,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,S,S3,RAINIER BEACH,92XX BLOCK OF RAINIER AVE S,-122.2680301,47.51985178
2023-155483,50946912203,6/4/2023 4:30,,6/5/2023 14:42,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B2,FREMONT,1XX BLOCK OF N CANAL ST,-122.3561757,47.65124499
2023-909379,50946612679,6/4/2023 3:40,6/4/2023 4:05,6/5/2023 14:03,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B1,BALLARD SOUTH,44XX BLOCK OF SHILSHOLE AVE NW,-122.3748548,47.66114161
2023-909386,50946680752,6/4/2023 3:10,6/4/2023 3:40,6/5/2023 14:13,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,D,D1,BELLTOWN,1XX BLOCK OF CLAY ST,-122.3519796,47.61602148
2023-154626,50952106787,6/4/2023 3:00,6/4/2023 9:26,6/6/2023 9:27,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,S,S1,NEW HOLLY,S HOLDEN ST / M L KING JR WAY S,-122.2808118,47.533374
2023-909354,50943683602,6/4/2023 3:00,6/4/2023 9:45,6/5/2023 5:53,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,ROOSEVELT/RAVENNA,8XX BLOCK OF NE 65TH ST,-122.319698,47.67584912
2023-154475,50937331383,6/4/2023 3:00,6/4/2023 3:15,6/4/2023 3:50,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,M,M3,DOWNTOWN COMMERCIAL,15XX BLOCK OF 7TH AVE,-122.3338081,47.61210339
2023-154677,50938939785,6/4/2023 2:50,,6/4/2023 10:40,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,M,M2,DOWNTOWN COMMERCIAL,15XX BLOCK OF 9TH AVE,-122.3312687,47.61267722
2023-154490,50938252766,6/4/2023 2:50,6/4/2023 2:51,6/4/2023 7:39,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,R,R1,NORTH BEACON HILL,17XX BLOCK OF 13TH AVE S,-122.3159835,47.58768442
2023-154466,50937655013,6/4/2023 2:32,6/4/2023 2:32,6/4/2023 3:19,A,PROPERTY,ROBBERY,Robbery,120,W,K,K2,PIONEER SQUARE,2ND AVE S / S MAIN ST,-122.3315734,47.60004107
2023-909405,50952130742,6/4/2023 2:15,6/5/2023 2:15,6/6/2023 9:33,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q2,QUEEN ANNE,25XX BLOCK OF GILMAN DR W,-122.3754867,47.64215109
2023-909328,50939074052,6/4/2023 1:57,6/4/2023 2:06,6/4/2023 11:32,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,R,R1,NORTH BEACON HILL,19XX BLOCK OF 18TH AVE S,-122.309466,47.585939
2023-909328,50940720401,6/4/2023 1:57,6/4/2023 2:06,6/4/2023 11:32,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,NORTH BEACON HILL,19XX BLOCK OF 18TH AVE S,-122.309466,47.585939
2023-154478,50938604630,6/4/2023 1:40,6/4/2023 1:45,6/4/2023 9:20,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,U,U1,UNIVERSITY,45XX BLOCK OF 18TH AVE NE,-122.3083678,47.66215843
2023-154440,50936412931,6/4/2023 1:36,6/4/2023 1:44,6/4/2023 2:10,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,E,E2,CAPITOL HILL,10XX BLOCK OF E PIKE ST,-122.3187939,47.6140898
